time,open,high,low,close,volume,timestamp,dividends,stock splits
2023-10-26 00:00:00+00:00,1787.48193359375,1865.09521484375,1781.493408203125,1811.93359375,2241868800,2023-10-26 00:00:00+00:00,0,0
2023-10-26 12:00:00+00:00,1812.55126953125,1824.550537109375,1764.0130615234375,1803.77734375,606687232,2023-10-26 12:00:00+00:00,0,0
2023-10-27 00:00:00+00:00,1803.794921875,1804.1358642578125,1775.3134765625,1781.40185546875,96723968,2023-10-27 00:00:00+00:00,0,0
2023-10-27 12:00:00+00:00,1781.5853271484375,1796.572265625,1751.4400634765625,1780.2830810546875,743705600,2023-10-27 12:00:00+00:00,0,0
2023-10-28 00:00:00+00:00,1780.084228515625,1800.6053466796875,1779.5338134765625,1788.294677734375,173064192,2023-10-28 00:00:00+00:00,0,0
2023-10-28 12:00:00+00:00,1788.518798828125,1791.63427734375,1773.4366455078125,1776.547607421875,0,2023-10-28 12:00:00+00:00,0,0
2023-10-29 00:00:00+00:00,1776.56396484375,1793.0750732421875,1766.052978515625,1790.1202392578125,147987712,2023-10-29 00:00:00+00:00,0,0
2023-10-29 12:00:00+00:00,1789.394287109375,1810.4886474609375,1788.7962646484375,1795.319091796875,816067584,2023-10-29 12:00:00+00:00,0,0
2023-10-30 00:00:00+00:00,1795.589111328125,1827.1298828125,1779.364501953125,1815.789794921875,2231501824,2023-10-30 00:00:00+00:00,0,0
2023-10-30 12:00:00+00:00,1815.5467529296875,1829.24951171875,1784.9459228515625,1810.316650390625,1349296640,2023-10-30 12:00:00+00:00,0,0
2023-10-31 00:00:00+00:00,1810.131591796875,1819.97265625,1786.0235595703125,1810.569580078125,542999552,2023-10-31 00:00:00+00:00,0,0
2023-10-31 12:00:00+00:00,1810.77294921875,1816.8614501953125,1784.567626953125,1816.8614501953125,585967616,2023-10-31 12:00:00+00:00,0,0
2023-11-01 00:00:00+00:00,1815.8720703125,1828.784912109375,1793.9749755859375,1800.4957275390625,747769856,2023-11-01 00:00:00+00:00,0,0
2023-11-01 12:00:00+00:00,1799.9276123046875,1858.3128662109375,1786.4095458984375,1846.770751953125,4063976960,2023-11-01 12:00:00+00:00,0,0
2023-11-02 00:00:00+00:00,1847.2598876953125,1873.885009765625,1823.291259765625,1836.880126953125,1464443904,2023-11-02 00:00:00+00:00,0,0
