timestamp,price,volume,ikeda,tent,volatility,ATR,anomaly_run_1,anomaly_run_2,anomaly_run_3,anomaly_run_4,anomaly_run_5,anomaly_run_6,anomaly_run_7,anomaly_run_8,anomaly_run_9,anomaly_run_10,anomaly_run_11,anomaly_run_12,anomaly_run_13,anomaly_run_14,anomaly_run_15,anomaly_run_16,anomaly_run_17,anomaly_run_18,anomaly_run_19,anomaly_run_20,anomaly_run_21,anomaly_run_22,anomaly_run_23,anomaly_run_24,anomaly_run_25,anomaly_run_26,anomaly_run_27,anomaly_run_28,anomaly_run_29,anomaly_run_30,anomaly_run_31,anomaly_run_32,anomaly_run_33,anomaly_run_34,anomaly_run_35,anomaly_run_36,anomaly_run_37,anomaly_run_38,anomaly_run_39,anomaly_run_40,anomaly_run_41,anomaly_run_42,anomaly_run_43,anomaly_run_44,anomaly_run_45,anomaly_run_46,anomaly_run_47,anomaly_run_48,anomaly_run_49,anomaly_run_50
2024-08-27 17:21:01.266,61590.456694191744,32178365992.118847,1.0565331051558862,0.36183168474213023,0.27704042423771547,1373.2692429227318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-27 18:23:54.241,62122.99726349206,29726034754.504616,1.0565331051558862,0.3649749746083333,0.42127302647958237,1347.7780276789854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-27 19:23:21.355,62055.9385443653,31920245961.971725,1.0565331051558862,0.60544206348948,0.4201560317250117,1046.2723524087342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-27 20:14:57.873,61976.35043057527,29770408808.378994,1.0565331051558862,0.9457347010518466,0.40302415251165447,823.8461155749537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-27 21:13:06.766,61880.77743116783,31184116572.568565,1.0565331051558862,0.8595705870978103,0.383148909500262,823.8461155749537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-27 22:19:39.698,58059.84861092541,34824326175.04862,1.0565331051558862,0.5795459889941034,1.9593538547050655,4285.834551014013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-08-27 23:20:45.735,59199.34377628683,38431035511.572784,1.0565331051558862,0.7724127395024648,2.1311020646715932,4063.148652566655,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-08-28 00:21:21.618,59327.70016611258,40203052532.70365,1.0565331051558862,0.27759278269756327,2.1426219714257195,4063.148652566655,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-08-28 01:23:04.887,59068.14960627904,41135363515.60074,1.0565331051558862,0.5813678505850841,2.1425626382857286,4063.148652566655,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-08-28 02:09:52.983,59350.03164630776,40481442508.1817,1.0565331051558862,0.7290600681544465,2.159912496147055,4063.148652566655,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-08-28 03:09:39.289,59393.97272044696,41930689840.455986,1.0565331051558862,0.9075792685919015,2.1625227732321872,4063.148652566655,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-08-28 04:14:49.280,59540.15462779536,42193783047.52895,1.0565331051558862,0.42749983682790293,2.132858181976758,3996.089933439893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-08-28 05:15:40.760,59314.30659526362,40046917855.42618,1.0565331051558862,0.39735082649513587,2.130417966671041,3916.501819649864,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-08-28 06:08:40.690,59311.718191981694,42140090070.29025,1.0565331051558862,0.9666734675569129,2.132724768151865,3820.9288202424214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-08-28 07:20:34.356,59133.2959120745,39902396464.99378,1.0565331051558862,0.8110950079645355,2.131218447575542,1480.3060168699521,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-08-28 08:20:58.017,58855.44458712857,44303043643.50862,1.0565331051558862,0.09243632131279547,0.7185980956130418,684.7100406667887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-28 09:23:35.304,59249.55718246931,44628225093.67378,1.0565331051558862,0.7809857447161377,0.39929529208012254,684.7100406667887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-28 10:00:33.396,59962.807975995434,45029216400.96584,1.0565331051558862,0.3393430061377101,0.5498995763895548,1107.3633888668628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-28 11:23:32.526,60036.74366489448,41696495771.592,1.0565331051558862,0.12945267004070624,0.5156284847806302,1181.299077765907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-28 12:26:03.871,59975.089209228616,45282535059.9387,1.0565331051558862,0.10171778086586684,0.5090532258269965,1181.299077765907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-28 13:11:12.735,59911.80578953989,44711507605.24026,1.0565331051558862,0.06839225418162688,0.5134527916917685,1181.299077765907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-28 14:21:45.260,59834.19240912646,41296031948.38429,1.0565331051558862,0.38128927724824235,0.5143426465552237,1181.299077765907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-28 15:06:14.901,59279.720383328626,45157377356.60026,1.0565331051558862,0.6061814006550077,0.5888848441591708,1181.299077765907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-28 16:15:20.749,58647.12822514628,45261168123.965675,1.0565331051558862,0.1943675068727039,0.6780512765685037,1389.615439748195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-28 17:21:35.469,59051.92884979606,47511845482.00191,1.0565331051558862,0.6283762772408078,0.7183789688572279,1389.615439748195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-28 18:26:20.540,59130.399820034385,48105739405.07537,1.0565331051558862,0.8759034625418066,0.7007108287675654,1389.615439748195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-28 19:01:39.269,59474.803468164886,48915763588.31483,1.0565331051558862,0.24285608734110986,0.6926244979158175,1389.615439748195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-28 20:12:36.838,59005.65986453745,48162129996.983635,1.0565331051558862,0.9854020511214276,0.6012417169379572,1389.615439748195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-28 21:10:22.406,59189.98525990052,51249047805.50726,1.0565331051558862,0.06843315701928461,0.6139504474744655,1327.9609840823323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-28 22:25:39.192,58976.77731506606,40761637890.85089,1.0565331051558862,0.1804523998632237,0.6175903307153477,1264.6775643936053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-28 23:19:26.970,59097.842954811764,42228384838.88684,1.0565331051558862,0.5149721633840336,0.6286922811803156,1187.0641839801756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-29 00:22:49.750,59143.100335965435,40848991855.16773,1.0565331051558862,0.6715806541355759,0.6322568583141638,827.6752430186025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-29 01:19:53.345,59174.92838635156,39939886503.99838,1.0565331051558862,0.6203050414179277,0.5646932658861697,827.6752430186025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-29 02:17:54.023,59157.83586486874,36698448614.611305,1.0565331051558862,0.9550646378561565,0.42920159629625904,498.0261530988282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
