time,open,high,low,close,BB Upper,BB Basis,BB Lower,Long Expansion,Short Expansion,LinReg,UpperBand,LowerBand,Long,Short,GMA fast,GMA slow,Bullish cross,Bearish cross,Plot,Final Newton value,Long Expansion,Short Expansion,Compression Score,Overbought z (eff),Oversold z (eff),z20,z50,z100,z200,Composite Z (smoothed),Long setup,Short setup,Dyn OB,Dyn OS,QAO,Buy,Sell,QVI Osc,Zero,Upper Band,Lower Band,VWMA spread (z by default),Buy,Sell,Climax Up,Climax Down,Churn,Bulls,Bears,Bias / Sentiment,Volume Band (Open),Volume Band (High,Volume Band (Low),Volume Band (Close),Price Band (Open),Price Band (High,Price Band (Low),Price Band (Close),Normalized Vol,Normalized Price,RROF Smooth,Signal Line,EoM +ve,EoM -ve,Compression +ve,Compression -ve
1470009600,626.97,629.34,483,572.89,649.5202802464692,370.23249999999996,90.94471975353076,0,0,NaN,NaN,NaN,0,0,346.22228484052766,NaN,0,0,378.9977142857143,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,5.5462800139942114,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,2.171417725069375,5.890768646015218,NaN,0,30,0,30,30,48.128850898557744,30,48.128850898557744,60,-36.25770179711548,-31.777370905122265,16.520250866585446,NaN,NaN,NaN,NaN
1472688000,572.89,631.3,568.12,608.99,678.3247310639658,389.7595,101.19426893603418,0,0,NaN,NaN,NaN,0,0,364.43319096182887,NaN,0,0,400.9017414965987,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,29.07952356697332,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,4.047779837400787,7.302235391403784,NaN,0,25,0,25,25,50.06413404892466,25,50.06413404892466,50,50.12826809784932,-32.03686024294032,-3.7552514253091287,NaN,NaN,NaN,NaN
1475280000,608.99,725.64,606.93,696.9,722.6128920099688,411.825,101.03710799003107,0,0,NaN,NaN,NaN,0,0,383.1768422097082,NaN,0,0,429.09205183025597,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,-8.342909306017521,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,8.348045686566495,7.087401788612851,NaN,0,25,0,25,25,62.07933996267961,25,62.07933996267961,50,74.15867992535922,1.2112739263281043,-8.025362795360968,0,NaN,NaN,NaN
1477958400,697.07,753.81,672.06,742.69,769.0678079127168,436.6845,104.3011920872832,0,0,NaN,NaN,NaN,0,0,404.9832469809572,NaN,0,0,458.9585230845173,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,34.73833259983229,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,13.234515432198231,6.147414149879611,NaN,0,25,0,25,25,57.05274042593596,25,57.05274042593596,50,64.10548085187192,33.23787666640102,1.8392919005893609,0,NaN,NaN,NaN
1480550400,742.51,988.88,741.59,973.37,866.793263672723,473.5125,80.23173632727702,0,0,NaN,NaN,NaN,0,0,434.641262975296,NaN,0,0,507.9500923145633,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,54.28770911857697,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,19.63748622716466,5.2472309065832645,NaN,0,30,0,30,30,75.31933445547611,30,75.31933445547611,60,90.63866891095222,55.496597760970154,21.21448172389575,0,NaN,NaN,NaN
1483228800,973.37,1175,734.64,970.01,942.5435291569543,510.50249999999994,78.46147084304567,0,0,NaN,NaN,NaN,0,0,467.0501924064532,NaN,0,0,551.9557978084144,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,53.45776367852551,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,21.54718168063003,4.455549921676128,NaN,0,35,0,35,35,35.644018530293394,35,35.644018530293394,70,-1.2880370605867952,65.27031363868109,41.229151789747,NaN,NaN,NaN,0
1485907200,970.01,1221.93,925,1195.08,1066.5218951301429,557.0654999999999,47.60910486985699,0,0,NaN,NaN,NaN,0,0,503.695439165162,NaN,0,0,613.2057218266607,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,30.503693320029598,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,24.920044244487745,3.6462504618697955,NaN,0,30,0,30,30,71.07349242536759,30,71.07349242536759,60,82.1469848507352,74.09072267441293,57.71411256458864,0,NaN,NaN,NaN
1488326400,1192.72,1360,890.05,1088.99,1140.2935754413083,597.2555,54.21742455869162,0,0,NaN,NaN,NaN,0,0,538.5952244893086,NaN,0,0,658.5185102241215,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,30.382887809002746,0,0,NaN,0,NaN,NaN,NaN,0,0,0,1,0,24.58656088727258,6.675717006054338,NaN,0,50,0,50,50,71.27655424335923,50,71.27655424335923,100,-42.55310848671844,58.45995623444441,61.91364566495056,NaN,NaN,NaN,0
1491004800,1088.99,1394.51,900,1384.55,1270.3145572485748,654.9455,39.57644275142525,0,0,NaN,NaN,NaN,0,0,589.075343393699,NaN,0,0,727.6643663932529,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,60.21920520182533,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,27.93955986224391,8.000338772415619,NaN,0,35,0,35,35,77.5317192730054,35,77.5317192730054,70,85.0634385460108,55.68446709653178,61.37143689880052,0,NaN,NaN,NaN
1493596800,1384.55,2806,1370.98,2303.29,1677.2116222262675,758.253,-160.70562222626756,0,0,NaN,NaN,NaN,0,0,659.9910336015871,NaN,0,0,877.7239505462765,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,62.688920995929685,0,0,NaN,0,NaN,NaN,NaN,0,0,1,0,0,33.26967286568262,7.777574775623504,NaN,0,50,0,50,50,82.4509935084125,50,82.4509935084125,100,64.901987016825,61.04572070235378,61.11987330591575,NaN,NaN,NaN,NaN
