time,open,high,low,close,BB Upper,BB Basis,BB Lower,Long Expansion,Short Expansion,LinReg,UpperBand,LowerBand,Long,Short,GMA fast,GMA slow,Bullish cross,Bearish cross,Plot,Final Newton value,Long Expansion,Short Expansion,Compression Score,Overbought z (eff),Oversold z (eff),z20,z50,z100,z200,Composite Z (smoothed),Long setup,Short setup,Dyn OB,Dyn OS,QAO,Buy,Sell,QVI Osc,Zero,Upper Band,Lower Band,VWMA spread (z by default),Buy,Sell,Climax Up,Climax Down,Churn,Bulls,Bears,Bias / Sentiment,Volume Band (Open),Volume Band (High,Volume Band (Low),Volume Band (Close),Price Band (Open),Price Band (High,Price Band (Low),Price Band (Close),Normalized Vol,Normalized Price,RROF Smooth,Signal Line,EoM +ve,EoM -ve,Compression +ve,Compression -ve
1735430400,95125.59,95170.06,92841.48,93563.35,106221.48925673592,98812.6635,91403.83774326407,0,0,104242.42230440778,117694.78967750151,90790.05493131405,0,0,98744.07824371917,96021.2037503074,0,0,97167.2720254911,96143.74099997546,0,0,36.14405752259788,2.0283322417090117,-2.0283322417090117,-1.3731821073661838,-0.8902235220042622,-0.23802993412849877,0.1992505025022368,-0.15702541813684898,0,0,58.762332159779575,-39.58536624878863,-43.57191581214513,0,0,-1.7596502957455251,0,1.0163655535036495,-1.0163655535036495,-1.6380038109898896,0,0,0,0,0,8.508405899656319,17.56405980982368,-11.649702967966846,0,12.5,0,12.5,12.5,41.640330961874426,12.5,41.640330961874426,25,-58.280661923748845,-34.78863539124375,-26.565010427091195,NaN,0,NaN,NaN
1735516800,93563.35,94910.48,91271.19,92620.71,106450.90327611745,98610.661,90770.41872388254,0,0,104403.30229889808,118139.83580117048,90666.76879662568,0,0,98533.51033018307,96292.63330762375,0,0,96734.26611830147,96387.17050654546,0,0,34.53036209463227,2.0327011705894056,-2.0327011705894056,-1.4759377680997836,-1.0092775116463466,-0.3470562154450607,0.10073130624859869,-0.2549846142118384,0,0,58.762332159779575,-39.58536624878863,-48.323486458808674,0,0,-1.7723926360481772,0,1.027300059809418,-1.027300059809418,-1.765059761430797,0,0,0,0,0,6.906849771762665,18.200153555491763,-16.210935739313296,0,45,0,45,45,62.224074074473094,45,62.224074074473094,90,-34.44814814894618,-44.90507487240662,-34.51026137514321,NaN,NaN,NaN,0
1735603200,92620.7,96148.94,91887.13,93354.22,106282.78247971435,98218.2665,90153.75052028564,0,0,104604.414275482,118627.82807747785,90581.00047348616,0,0,98136.63773154246,96389.63744801389,0,0,96412.35696417752,96395.2094469532,0,0,36.4318477139828,2.0262754145541013,-2.0262754145541013,-1.270223251577924,-0.9298323463172329,-0.3085790383792765,0.13008503165846397,-0.2985175096006449,0,0,58.762332159779575,-39.63846999844488,-29.77808568487164,0,0,-1.8052275233630373,0,1.0368482610657401,-1.0368482610657401,-1.545658438131069,0,0,0,0,0,6.307112544827919,17.726404161358353,-18.234096668818967,0,35,0,35,35,42.20891802235441,35,42.20891802235441,70,14.417836044708826,-47.321705958216604,-40.54573441210884,NaN,NaN,0,NaN
1735689600,93347.59,94960.91,92743.63,94383.59,106121.3777662984,97935.92249999999,89750.46723370157,0,0,104797.42521487601,119046.83215911513,90548.0182706369,0,0,97851.92722361734,96523.9590664754,0,0,96219.14106282729,96219.14045143232,0,0,38.424257190324724,1.9919081123861964,-1.9919081123861964,-1.0443890888084266,-0.8264466345507793,-0.2481352413957125,0.1800299349269544,-0.29857788278465913,0,0,58.762332159779575,-39.58536624878863,-7.147170560834432,0,0,-1.7228255515602577,0,1.0456704219897166,-1.0456704219897166,-1.327220745664705,0,0,0,0,0,7.388663752865952,15.85288165926734,-16.382109879339627,0,25,0,25,25,46.329797539416276,25,46.329797539416276,50,42.659595078832545,-35.95845381878832,-40.30549353110853,NaN,NaN,NaN,NaN
1735776000,94383.59,97776.99,94177,96903.19,105745.203564421,97709.6445,89674.08543557899,0,0,105066.49696831952,119473.22958572346,90659.76435091559,0,0,97628.8634930138,96656.15389289348,0,0,96284.28858065326,96734.39719999999,0,0,40.3579619284957,1.9620812330801234,-1.9620812330801234,-0.580854563551552,-0.5570540065811812,-0.05928484619560132,0.3423971970499617,-0.22162141850820127,0,0,58.762332159779575,-39.58536624878863,19.701341049752898,0,0,-1.568629651474288,0,1.0562124471632284,-1.0562124471632284,-0.8405950026927048,0,0,0,0,0,11.75326705404562,13.109629347420492,-8.867601203900401,0,35,0,35,35,69.73184759147655,35,69.73184759147655,70,69.4636951829531,-7.380097683589182,-29.819880446920397,NaN,NaN,NaN,NaN
1735862400,96905.48,98969.92,96016.63,98136.51,105406.26816341537,97546.4705,89686.67283658462,0,0,105329.8457369147,119838.14509301112,90821.5463808183,0,0,97469.30481354473,96881.71509501153,0,0,96460.69062059105,96950.31940038627,0,0,42.574814297581185,1.9381765473854577,-1.9381765473854577,-0.3928957889499526,-0.45006380038306193,0.011796050222006702,0.4039969924544392,-0.14029909730401038,0,0,58.762332159779575,-37.39813638918263,23.62193006684239,0,0,-1.3798835234384077,0,1.0649213810153733,-1.0649213810153733,-0.6243059429267427,0,0,0,0,0,15.783032284758596,10.493946133594335,-1.1944915823562567,0,30,0,30,30,54.68327697022548,30,54.68327697022548,60,49.366553940450956,18.934889477678457,-12.151319439411283,NaN,NaN,NaN,NaN
1735948800,98139.85,98761.02,97516.65,98209.85,104442.1931376238,97234.57499999998,90026.95686237616,0,0,105541.48172038562,120116.27602867287,90966.68741209837,0,0,97169.65580955437,97028.32248879022,0,0,96627.2772281538,97093.34920028305,0,0,47.12074048212393,1.9053503154932847,-1.9053503154932847,-0.4362598845936161,-0.4881058783500523,-0.02332868683778143,0.37514215454066424,-0.09751715874366314,0,0,58.762332159779575,-36.466809690629745,12.517798080159231,0,0,-1.4699780874738737,0,1.0751545537296052,-1.0751545537296052,-0.5985161930390421,0,0,0,0,0,16.993959515191715,7.9404319757671855,3.2437373777154144,0,12.5,0,12.5,12.5,19.837476015092097,12.5,19.837476015092097,25,14.674952030184194,37.0013454464918,7.957825233107467,NaN,NaN,NaN,NaN
1736035200,98209.85,98814,97250,98345.33,102836.56857514978,96846.851,90857.13342485021,0,0,105742.72719696963,120397.1189991449,91088.33539479435,0,0,96801.61905976,97186.86210944837,0,0,96790.90130166296,97247.53100029053,0,0,53.4562035743953,1.8785445314207254,-1.8785445314207254,-0.46500046570863196,-0.5183809871830257,-0.053134140919744346,0.3509773061874165,-0.07816291959623808,0,0,58.762332159779575,-34.93768345322585,8.537551363001095,0,0,-1.6762486305425295,0,1.0874286036841534,-1.0874286036841534,-0.4347736020205458,0,0,0,0,0,16.262404547177532,5.394231444272492,5.122067133870499,0,12.5,0,12.5,12.5,22.288363171355492,12.5,22.288363171355492,25,19.57672634271098,51.562488337306235,27.460256181304473,NaN,NaN,NaN,NaN
1736121600,98347.65,102500,97900,102279.41,101590.47990795653,96653.972,91717.46409204346,0,0,106067.30276997245,120734.5193818865,91400.0861580584,0,0,96622.59418766294,97438.23683744045,0,0,97313.6164157903,97523.16034902516,0,0,61.31143512053098,1.8580383881205396,-1.8580383881205396,0.20461983332664146,-0.08867318240843482,0.2639811960382961,0.6253115549616904,0.05791392545475918,0,0,58.762332159779575,-34.01297151980237,53.80445192746568,0,0,-1.2803152331166647,0,1.0922900227056578,-1.0922900227056578,0.33165381447369024,0,0,0,0,0,21.8623591304269,3.3832065211055764,14.227545209744813,0,45,0,45,45,90.20113354037271,45,90.20113354037271,90,90.40226708074543,70.60342962268852,46.71738793826071,NaN,NaN,NaN,NaN
1736208000,102279.41,102735.99,96105.11,96941.98,101166.5716258104,96493.5345,91820.4973741896,0,0,106232.79665151527,121092.3975572271,91373.19574580343,0,0,96465.40275184928,97571.89387447697,0,0,97278.22247142931,97278.22247142931,0,0,65.55155089359883,1.944240174914027,-1.944240174914027,-0.8798083317980211,-0.7941161653453626,-0.27465489936381837,0.16379520713622817,-0.05600879445838351,0,0,58.762332159779575,-34.93768345322585,-48.08020888410068,0,0,-0.831741736535491,0,1.0939016068641605,-1.0939016068641605,-0.6515024497766858,0,0,0,1,0,23.998857176162243,9.787492805832853,10.159019708240455,0,50,0,50,50,92.54199040449134,50,92.54199040449134,100,-85.08398080898269,47.609176887593414,51.20564322075346,NaN,NaN,NaN,NaN
