time,open,high,low,close,Fast MA,Slow MA,ADX & +DI > -DI,ADX & +DI < -DI,BB Upper,BB Basis,BB Lower,Long Expansion,Short Expansion,LinReg,UpperBand,LowerBand,Long,Short,GMA fast,GMA slow,Bullish cross,Bearish cross,Plot,Final Newton value,Long Expansion,Short Expansion,Compression Score,Overbought z (eff),Oversold z (eff),z20,z50,z100,z200,Composite Z (smoothed),Long setup,Short setup,Dyn OB,Dyn OS,QAO,Buy,Sell,QVI Osc,Zero,Upper Band,Lower Band,VWMA spread (z by default),Buy,Sell,Climax Up,Climax Down,Churn,Bulls,Bears,Bias / Sentiment,Volume Band (Open),Volume Band (High,Volume Band (Low),Volume Band (Close),Price Band (Open),Price Band (High,Price Band (Low),Price Band (Close),Normalized Vol,Normalized Price,RROF Smooth,Signal Line,EoM +ve,EoM -ve,Compression +ve,Compression -ve
1757044800,111316.92,113000,111145.4,112961.08,NaN,NaN,0,0,112702.83934021486,110994.41949999965,109285.99965978444,0,0,108619.44611157029,113539.27758326626,103699.61463987431,0,0,110991.1380611773,110180.37064195256,0,0,110832.6182465141,110076.38568530777,0,0,68.75182666385555,2.0077208906877857,-2.0077208906877857,2.144966851032183,2.4638741402041675,2.151446045433886,1.2143692475937953,0.9803930542439587,0,0,48.44057047824237,-60.20588539453706,83.40132989053515,0,0,-0.21281803668534116,0,0.9017701659537999,-0.9017701659537999,1.7250996730594863,0,0,0,0,0,20.015477471416794,19.004765374642194,13.015417311331523,0,30,0,30,30,75.48337294460498,30,75.48337294460498,60,90.96674588920996,2.207693291946614,-18.646708096525778,0,NaN,NaN,NaN
1757059200,112961.07,112996.77,112131.82,112350.13,NaN,NaN,0,0,112872.14702157237,111095.60049999967,109319.05397842696,0,0,108700.106953168,113692.0957005861,103708.1182057499,0,0,111092.05217746865,110186.97683614108,0,0,110977.14317541753,110977.14317541753,0,0,67.81341333192778,1.999287111507421,-1.999287111507421,1.5218235200846413,1.973022914989358,1.760997085753112,0.9376580773639002,1.1343209826589327,0,0,52.40011846831874,-60.20588539453706,59.10346333386784,0,0,-0.4442768570681193,0,0.893831690610247,-0.893831690610247,1.2099110287849473,0,0,0,0,0,21.095993882154072,17.64605106066185,13.803694931395812,0,30,0,30,30,53.5981781621541,30,53.5981781621541,60,-47.19635632430819,8.693193957640778,-7.467778955615464,NaN,NaN,NaN,NaN
1757073600,112350.13,113390,110256.44,110714.5,NaN,NaN,0,0,112861.9582318687,111119.25049999966,109376.54276813062,0,0,108734.02262258952,113754.68122557223,103713.3640196068,0,0,111115.83620943806,110139.47274937412,0,0,110952.12953966348,110952.12953966348,0,0,57.96920666596389,2.0903272768179733,-2.0903272768179733,0.27037519449387476,0.9081681385677564,0.8045370546247576,0.1638576390701771,0.922137296386202,0,0,52.40011846831874,-60.20588539453706,-20.595903033297525,0,0,-0.5262291205418612,0,0.884411763132871,-0.884411763132871,0.05977421256927649,0,0,0,1,0,19.783796582072327,21.928193296203784,6.355081317179912,0,50,0,50,50,87.16023734453258,50,87.16023734453258,100,-74.32047468906515,-4.132671757921948,-3.426499802356734,NaN,NaN,NaN,NaN
1757088000,110716.14,111646.73,110202.36,111630.22,NaN,NaN,0,0,112849.50718081152,111213.45399999965,109577.40081918778,0,0,108800.66280991747,113867.90555952373,103733.42006031121,0,0,111210.44620947831,110114.08541643186,0,0,111016.70958350506,111016.70958350506,0,0,53.255436666315276,2.082277594030741,-2.082277594030741,0.9176855444308268,1.4620848603261438,1.3595933852847994,0.6490249646868352,0.9604059531263635,0,0,52.40011846831874,-60.20588539453706,29.19208899605934,0,0,-0.25282297291221956,0,0.870124998534357,-0.870124998534357,0.6452444326644113,0,0,0,0,0,21.860316737573637,22.647358652838392,4.95815632445449,0,45,0,45,45,74.94284125673397,45,74.94284125673397,90,59.88568251346795,-1.7364513734816522,-0.9229800727954004,NaN,NaN,NaN,NaN
1757102400,111630.21,111710.42,110368.26,110670.02,NaN,NaN,0,0,112850.38705109259,111204.68849999967,109558.98994890675,0,0,108833.34846556454,113924.43866520276,103742.25826592633,0,0,111201.64522302989,110074.21073212216,0,0,110983.69152793314,110983.69152793314,0,0,53.81521833315763,2.091944256841018,-2.091944256841018,0.198420143945575,0.8434288032327217,0.8011598337489917,0.19154374089830847,0.8020712682614675,0,0,52.40011846831874,-60.20588539453706,-19.30993171955606,0,0,-0.3420442331618918,0,0.8543462785659677,-0.8543462785659677,-0.06352518579142061,0,0,0,0,0,21.86162843993932,24.72881079109364,1.3690712255450848,0,35,0,35,35,69.01867747341686,35,69.01867747341686,70,-68.03735494683373,-6.217568560069002,-2.0558388240539527,NaN,NaN,NaN,NaN
1757116800,110670.02,111317.65,110557.34,111093.53,NaN,NaN,0,0,112855.57978264167,111218.87049999966,109582.16121735764,0,0,108888.01294214885,114009.80768871996,103766.21819557775,0,0,111215.86008629747,110058.18100131801,0,0,110994.15233479666,110994.15233479666,0,0,55.345109166578816,2.064464698112439,-2.064464698112439,0.5125028853218317,1.1006084352938712,1.0731166921203368,0.44064093263593657,0.7850062553036948,0,0,52.40011846831874,-60.20588539453706,7.4712197150442305,0,0,-0.6818854681509063,0,0.8388314649161469,-0.8388314649161469,0.21460145977085066,0,0,0,0,0,20.87416925515304,23.25632791310059,0.6508383707043516,0,12.5,0,12.5,12.5,33.864731892353674,12.5,33.864731892353674,25,42.729463784707356,-5.413869275123441,-3.7814082863027525,0,NaN,NaN,NaN
1757131200,111095.12,111095.15,110702.12,110838.71,NaN,NaN,0,0,112843.36431183516,111198.40899999966,109553.45368816417,0,0,108942.54644352621,114088.72740024993,103796.36548680249,0,0,111195.36865876337,110023.97527779017,0,0,110979.34830291127,110979.34830291127,0,0,57.67255458328941,2.030046947218409,-2.030046947218409,0.32688663407794316,0.9359103374153659,0.9424436902127503,0.3422662855216954,0.7296680980776445,0,0,52.40011846831874,-60.20588539453706,-3.4991274778285564,0,0,-1.1575539222031188,0,0.8256746955621437,-0.8256746955621437,0.03451722229928059,0,0,0,0,0,17.830966132023434,20.762100730922736,-1.108241875468546,0,5,0,5,5,22.102823342217274,5,22.102823342217274,10,-34.20564668443455,-7.506588185029432,-5.696446547382212,NaN,0,NaN,NaN
1757145600,110838.7,110980.02,110672.38,110796.75,NaN,NaN,0,0,112839.14376339548,111186.03099999965,109532.91823660383,0,0,109003.30748071619,114171.48502893763,103835.12993249475,0,0,111182.96067576749,110005.86957630038,0,0,110961.9579883483,110961.9579883483,0,0,60.29461062497804,1.9931344921485707,-1.9931344921485707,0.30937640064619104,0.9112113545884494,0.9451960552046534,0.358524199025903,0.6927635382746911,0,0,52.40011846831874,-60.20588539453706,-0.48478132144863517,0,0,-1.5621460995826117,0,0.8212757566308814,-0.8212757566308814,0.005821926748521031,0,0,0,0,0,14.507078013942618,17.598402452530067,-1.9729558113406565,0,5,0,5,5,13.655922304408634,5,13.655922304408634,10,-17.311844608817267,-10.070148229484284,-7.386019347101941,NaN,0,NaN,NaN
1757160000,110798.2,111014.97,110369.7,110398.38,NaN,NaN,0,0,112839.08741958723,111150.73249999966,109462.3775804121,0,0,109052.85442975209,114235.90901420728,103869.79984529689,0,0,111147.5301447874,110013.42248196962,0,0,110908.28389421989,110020.91312831135,0,0,61.50147197915569,1.975034341304944,-1.975034341304944,0.046379674448201964,0.6712230296276521,0.7319260084163162,0.17814349256861584,0.5974644350021567,0,0,52.40011846831874,-60.20588539453706,-15.807598360609877,0,0,-1.789674336608054,0,0.8242826422140882,-0.8242826422140882,-0.26791278671470115,0,0,0,0,0,11.057177940797011,16.327715663048505,-4.744329954186163,0,12.5,0,12.5,12.5,47.160000206631246,12.5,47.160000206631246,25,-69.32000041326249,-20.204186633034663,-12.057773183234309,NaN,0,NaN,NaN
1757174400,110400.22,110425.94,109993,110060.61,NaN,NaN,0,0,112826.69830575779,111080.57749999966,109334.45669424154,0,0,109083.78399449053,114275.46782937949,103892.10015960157,0,0,111077.15240672203,110012.32822903174,0,0,110827.55304715132,110020.0881999999,0,0,63.771569322911176,1.948866692521404,-1.948866692521404,-0.1513364171784382,0.4751847741286179,0.5519877409688831,0.022703140032689653,0.47535520760367445,0,0,52.40011846831874,-60.20588539453706,-25.308433070064375,0,0,-1.8298892151940378,0,0.8306667078165795,-0.8306667078165795,-0.47987594018827545,0,0,0,0,0,7.992357445411252,17.232955852065476,-9.768022746714465,0,25,0,25,25,55.585778266803004,25,55.585778266803004,50,-61.17155653360601,-37.18464350040457,-21.15849695785311,NaN,0,NaN,NaN
