time,open,high,low,close,BB Upper,BB Basis,BB Lower,Long Expansion,Short Expansion,LinReg,UpperBand,LowerBand,Long,Short,GMA fast,GMA slow,Bullish cross,Bearish cross,Plot,Final Newton value,Long Expansion,Short Expansion,Compression Score,Overbought z (eff),Oversold z (eff),z20,z50,z100,z200,Composite Z (smoothed),Long setup,Short setup,Dyn OB,Dyn OS,QAO,Buy,Sell,QVI Osc,Zero,Upper Band,Lower Band,VWMA spread (z by default),Buy,Sell,Climax Up,Climax Down,Churn,Bulls,Bears,Bias / Sentiment,Volume Band (Open),Volume Band (High,Volume Band (Low),Volume Band (Close),Price Band (Open),Price Band (High,Price Band (Low),Price Band (Close),Normalized Vol,Normalized Price,RROF Smooth,Signal Line,EoM +ve,EoM -ve,Compression +ve,Compression -ve
1760205600,112118.05,112153.91,111962.77,112078.51,113451.72669425959,112186.9089999996,110922.09130573962,0,0,114431.3530275483,118112.30428983971,110750.4017652569,0,0,112185.12227990788,116817.31240680949,0,0,112970.71198294345,112970.71198294345,0,0,24.055545754377444,1.8002855586771147,-1.8002855586771147,-0.017034111388787593,-0.9854611799836518,-1.4811247885344696,-1.7302650579643248,-1.4291598916247492,0,0,26.345587685717355,-92.93178988440843,-21.200235065730137,0,0,-0.33673132222296015,0,0.6372320298956207,-0.6372320298956207,0.48024332431552963,0,0,0,0,0,3.4604832935494727,3.5268137458425515,-41.280180287210925,0,12.5,0,12.5,12.5,14.358390742963886,12.5,14.358390742963886,25,-3.7167814859277706,-0.8605392056681799,-4.585670107000368,NaN,NaN,NaN,0
1760209200,112078.5,112147.14,110967.03,111301.55,113368.85837899183,112102.97249999961,110837.08662100739,0,0,114217.34905234186,117882.82165305382,110551.8764516299,0,0,112101.18254157635,116621.77850867598,0,0,112811.74417504408,112811.74417504408,0,0,30.465272877188724,1.8197076382928907,-1.8197076382928907,-0.459367433568587,-1.2393926506604336,-1.660543513094595,-1.8681228099358707,-1.4525026773301013,0,0,26.345587685717355,-92.93178988440843,-58.52676796193438,0,0,-0.3106792432178068,0,0.6054843283770214,-0.6054843283770214,0.01185823708801861,0,0,0,0,0,2.754935384560282,7.7914168077240475,-43.67830636904561,0,40,0,40,40,73.18640085107135,40,73.18640085107135,80,-66.37280170214271,-34.63139723444203,-14.827983169815203,NaN,NaN,NaN,NaN
1760212800,111301.57,111484.1,109800,110367.76,113431.71048058505,111987.54399999962,110543.37751941418,0,0,113974.98470936659,117637.68167199007,110312.28774674311,0,0,111985.21050380931,116412.94624283104,0,0,112578.98377742083,112578.98377742083,0,0,30.128469771927698,1.8591621941117076,-1.8591621941117076,-0.9633559983837795,-1.5446490315556105,-1.8765893615606593,-2.033607662958559,-1.552083174118476,0,0,26.345587685717355,-92.93178988440843,-81.05121229321736,0,0,-0.2614027212646299,0,0.5847506701148966,-0.5847506701148966,-0.5676003564410009,0,0,0,1,0,1.983679454113146,15.828100042434498,-49.80195990887062,0,50,0,50,50,81.6189972890048,50,81.6189972890048,100,-63.237994578009584,-67.4423886119115,-33.260090025906884,NaN,NaN,NaN,NaN
1760216400,110377.87,111111.11,109683.96,111022.41,113445.26451071879,111977.6159999996,110509.96748928042,0,0,113758.57628374665,117409.59058472732,110107.56198276597,0,0,111975.20579814313,116211.98394966517,0,0,112430.7386557617,112430.7386557617,0,0,29.75173488596385,1.8766337221483527,-1.8766337221483527,-0.3610173601259094,-1.1545688358030235,-1.5959207003713232,-1.8164138918774064,-1.5117867245325534,0,0,26.345587685717355,-92.93178988440843,-48.055768997738696,0,0,0.014140143684999232,0,0.5726049601980546,-0.5726049601980546,0.010112453085595394,0,0,0,0,0,6.591075441471652,19.4117712318692,-41.5344358861414,0,45,0,45,45,76.48367377926047,45,76.48367377926047,90,62.96734755852094,-54.11807811261132,-43.301002960492696,NaN,NaN,NaN,NaN
1760220000,111018.16,111427.58,110770.67,111164.06,113235.49174470353,111868.81849999959,110502.14525529565,0,0,113551.67947933887,117189.79736978919,109913.56158888855,0,0,111866.72579030305,116011.79690351315,0,0,112310.1025933082,112310.1025933082,0,0,32.1675341096486,1.8690957233553016,-1.8690957233553016,-0.15842989892432927,-1.0035953696695785,-1.484987689550888,-1.73011600611544,-1.4444865430606708,0,0,26.345587685717355,-92.93178988440843,-33.71612805447884,0,0,-0.045121617870285256,0,0.5672390968327272,-0.5672390968327272,0.3005254668964665,0,0,0,0,0,10.404088000251994,18.92593760337975,-31.217014824244885,0,25,0,25,25,39.15641741894613,25,39.15641741894613,50,28.312834837892254,-31.02528481493394,-42.936615735693444,NaN,NaN,NaN,NaN
1760223600,111164.03,111240.25,110765.64,110768.89,113208.51247118134,111786.39599999957,110364.2795288178,0,0,113331.17461157024,116962.81223599322,109699.53698714726,0,0,111784.13020608024,115796.69828344329,0,0,112163.32044156456,112163.32044156456,0,0,34.417100388157635,1.8606754428096197,-1.8606754428096197,-0.3370944302627707,-1.0909551478724808,-1.5422426049223634,-1.7722376259400292,-1.4240899282509498,0,0,26.345587685717355,-92.93178988440843,-48.853890526908344,0,0,-0.16028690746985536,0,0.5661494648181722,-0.5661494648181722,0.01913536022610382,0,0,0,0,0,11.736212996420194,19.973102506829907,-28.112902956316105,0,25,0,25,25,65.05024852993924,25,65.05024852993924,50,-80.10049705987849,-25.63150863014245,-38.941939413769795,NaN,0,NaN,NaN
1760227200,110768.9,110806.39,109687.46,109764.03,113166.0214827794,111620.09549999959,110074.16951721978,0,0,113087.24276721767,116716.39395849637,109458.09157593898,0,0,111617.40881949123,115556.85209455821,0,0,111934.81658998698,111934.81658998698,0,0,34.60438352741215,1.8830594299767558,-1.8830594299767558,-0.9064812638593657,-1.435596350425629,-1.7822133375292404,-1.9535141103846725,-1.5042752764210914,0,0,26.345587685717355,-92.93178988440843,-77.79578659472976,0,0,-0.2853878956204364,0,0.5661454028292612,-0.5661454028292612,-0.7230305613435261,0,0,0,0,0,10.722959478594587,25.887030704959802,-34.66576198675661,0,40,0,40,40,84.24758241438977,40,84.24758241438977,80,-88.49516482877952,-39.61518392829711,-37.95709022959942,NaN,NaN,NaN,NaN
1760230800,109764.66,110421.42,109750.08,110078.26,113125.07980327027,111498.32499999958,109871.57019672888,0,0,112856.84800000016,116480.29004394132,109233.405956059,0,0,111495.34853864358,115324.84688067841,0,0,111758.00167665488,111758.00167665488,0,0,34.90635843037275,1.8770577258398564,-1.8770577258398564,-0.530251286714848,-1.1922609480360826,-1.6081754945455096,-1.8199358420782696,-1.4915080164627188,0,0,26.345587685717355,-92.93178988440843,-58.07747423750799,0,0,-0.28035267822728566,0,0.5662743822256808,-0.5662743822256808,-0.3333383771609881,0,0,0,0,0,11.229272745085138,27.667241302443358,-35.61490723811459,0,40,0,40,40,53.53472621430007,40,53.53472621430007,80,27.069452428600147,-41.82925418157068,-37.3780120169299,NaN,NaN,0,NaN
1760234400,110078.27,110810.35,109699.27,110211.06,113088.83131833441,111400.56049999958,109712.28968166476,0,0,112629.5563044077,116249.76739384611,109009.34521496929,0,0,111397.35497942392,115094.18387318304,0,0,111610.67389792584,111610.67389792584,0,0,35.05734588185304,1.8905827322453783,-1.8905827322453783,-0.3145803608065761,-1.0393779280695792,-1.49637511780903,-1.7335150297661723,-1.4417583477674802,0,0,26.345587685717355,-92.93178988440843,-44.26626611992248,0,0,-0.15921675429688426,0,0.5655681031255259,-0.5655681031255259,-0.13142289645421362,0,0,0,0,0,11.67548804812693,25.727902359448162,-33.296831578713935,0,45,0,45,45,49.846110691099106,45,49.846110691099106,90,9.692221382198213,-37.10416198802262,-36.93144536843373,NaN,NaN,0,NaN
1760238000,110211.07,111489,110094.16,110790,113078.01440664103,111414.12999999958,109750.24559335814,0,0,112428.14432369157,116044.13949817959,108812.14914920354,0,0,111411.01644387294,114878.39698635392,0,0,111532.51447907576,111532.51447907576,0,0,37.737006274259855,1.914240778031688,-1.914240778031688,0.18316393178070253,-0.6994934408175396,-1.2533473902607917,-1.5485916459100149,-1.3175520517426418,0,0,26.95411129678993,-92.93178988440843,-6.465820219898099,0,0,0.05705097725592448,0,0.5644089250440099,-0.5644089250440099,0.3172003445925199,0,0,0,0,0,14.353922886830938,21.541611221560952,-25.012419336062873,0,40,0,40,40,62.95951038906409,40,62.95951038906409,80,45.919020778128186,-19.762725898605492,-31.83866109843778,NaN,NaN,NaN,NaN
