time,open,high,low,close,Fast MA,Slow MA,ADX & +DI > -DI,ADX & +DI < -DI,BB Upper,BB Basis,BB Lower,Long Expansion,Short Expansion,LinReg,UpperBand,LowerBand,Long,Short,GMA fast,GMA slow,Bullish cross,Bearish cross,Plot,Final Newton value,Long Expansion,Short Expansion,Compression Score,Overbought z (eff),Oversold z (eff),z20,z50,z100,z200,Composite Z (smoothed),Long setup,Short setup,Dyn OB,Dyn OS,QAO,Buy,Sell,QVI Osc,Zero,Upper Band,Lower Band,VWMA spread (z by default),Buy,Sell,Climax Up,Climax Down,Churn,Bulls,Bears,Bias / Sentiment,Volume Band (Open),Volume Band (High,Volume Band (Low),Volume Band (Close),Price Band (Open),Price Band (High,Price Band (Low),Price Band (Close),Normalized Vol,Normalized Price,RROF Smooth,Signal Line,EoM +ve,EoM -ve,Compression +ve,Compression -ve
1577059200,7514.74,7688.99,7053.32,7384.89,NaN,NaN,0,0,11025.55783199741,8675.584499999999,6325.611168002588,0,0,7152.83480853994,14818.833450224076,-513.1638331441945,0,0,8596.150417796578,7023.455608906841,0,0,8236.953229273387,7528.041399999999,0,0,71.16098907455334,2.068090605439648,-2.068090605439648,-0.5331078660890358,-0.529589814107537,-0.5810918752673128,NaN,-0.34283803958100195,0,0,42.631878636196284,-67.81258820529865,2.0829055210145047,0,0,-1.0369397129673725,0,1.2996846210843733,-1.2996846210843733,-0.6062286359201184,0,0,0,0,0,13.51683840998237,17.820638462485906,-17.396800252981055,0,30,0,30,30,32.04956571422651,30,32.04956571422651,60,-4.099131428453022,-13.872097906539606,-24.155718391336997,NaN,NaN,NaN,0
1577664000,7384.57,7488.87,6854.67,7355.4,NaN,NaN,0,0,10817.881767881356,8527.5805,6237.279232118644,0,0,7079.8536349862225,14740.917964820686,-581.2106948482415,0,0,8452.007018039403,7127.09021130341,0,0,8152.995778866398,7604.4256,0,0,75.37216120394334,2.0371432844985433,-2.0371432844985433,-0.5082471274179825,-0.5212217927120877,-0.5745809676174695,NaN,-0.33696943757493697,0,0,42.631878636196284,-67.81258820529865,-15.370298191336818,0,0,-1.0375564804107222,0,1.3016415676196358,-1.3016415676196358,-0.5573486016459798,0,0,0,0,0,12.97581439774597,14.878319953204072,-15.48785491121284,0,30,0,30,30,34.150678942080205,30,34.150678942080205,60,8.301357884160408,-6.63425089700479,-16.850829371677627,NaN,NaN,0,NaN
1578268800,7355.4,8469.39,7343.17,8180.81,NaN,NaN,0,0,10600.408759537353,8429.685,6258.961240462645,0,0,7031.693472451795,14691.974912260497,-628.587967356907,0,0,8361.814095347838,7247.866385184125,0,0,8155.644752307693,8155.644752307693,0,0,78.10274726863832,1.9268343905461647,-1.9268343905461647,-0.20006575387797684,-0.3482808885311301,-0.45790916198375625,NaN,-0.29745986552294396,0,0,42.631878636196284,-67.81258820529865,24.954531841856088,0,0,-0.7763171763948911,0,1.3028767225321467,-1.3028767225321467,-0.23686355196520167,0,0,0,0,0,17.119007893592126,11.847511733915345,-7.534699340263846,0,45,0,45,45,81.45141208634381,45,81.45141208634381,90,72.90282417268762,16.1420893015969,-4.265754639743714,NaN,NaN,NaN,NaN
1578873600,8180.81,9194.99,8041.95,8697.53,NaN,NaN,0,0,10463.706905643448,8376.235499999999,6288.764094356548,0,0,7010.776075757576,14669.180585515925,-647.6284340007742,0,0,8313.48873077093,7384.665747936229,0,0,8207.252871135532,8207.252871135539,0,0,80.5097069676525,1.871438102489558,-1.871438102489558,-0.02209999974170479,-0.24046611181746688,-0.383003781174709,NaN,-0.24936465389606588,0,0,42.631878636196284,-67.81258820529865,7.2878689245859825,0,0,-0.41999647518246896,0,1.3031053280605085,-1.3031053280605085,-0.03342254486216566,0,0,0,0,0,22.54108990580941,8.868720923934758,2.299349181999377,0,45,0,45,45,67.72531500453765,45,67.72531500453765,90,45.45063000907529,41.31157472213995,13.474660025246457,NaN,NaN,NaN,NaN
1579478400,8697.53,8791.76,8216.71,8595,NaN,NaN,0,0,10161.210165754048,8286.036999999998,6410.86383424595,0,0,6988.183396694212,14643.107205199085,-666.7404118106597,0,0,8234.667923212224,7512.2955181986645,0,0,8244.181169122623,8244.181169122623,0,0,83.06735348382625,1.858105615332558,-1.858105615332558,-0.06618914711826764,-0.2565715804823671,-0.39001994811873214,NaN,-0.22095805433423427,0,0,42.631878636196284,-67.81258820529865,38.7209044275534,0,0,-0.3030815331026097,0,1.3029585602342393,-1.3029585602342393,-0.024637714092440977,0,0,0,0,0,23.96283154125473,6.536137986604973,7.776734483863528,0,30,0,30,30,34.10209897811112,30,34.10209897811112,60,-8.20419795622224,57.44906566882827,31.58515302912951,NaN,NaN,NaN,0
1580083200,8595,9574.68,8556.6,9323.5,NaN,NaN,0,0,9942.014275541711,8236.988999999998,6531.9637244582855,0,0,7006.09380027548,14653.105902415045,-640.9183018640852,0,0,8193.58148423196,7655.576338006926,0,0,8346.973438729992,8346.973723997588,0,0,85.38784340857978,1.7876483119064321,-1.7876483119064321,0.17305642902791787,-0.1073701597813087,-0.2866087973266828,NaN,-0.17224832090270778,0,0,42.631878636196284,-67.81258820529865,16.323609350845942,0,0,-0.08499905516277892,0,1.3029560829138997,-1.3029560829138997,0.2547154297735907,0,0,0,0,0,26.787167199558485,4.4276545611142275,15.090951212730674,0,40,0,40,40,74.9054331448105,40,74.9054331448105,80,69.81086628962102,71.30299999072531,49.059727633436566,NaN,NaN,NaN,NaN
1580688000,9325.01,10178.91,9078.05,10168.35,NaN,NaN,0,0,9979.652051199108,8244.066499999997,6508.480948800887,0,0,7055.50600826445,14702.315404457906,-591.303387929006,0,0,8199.326561735354,7810.501194625082,0,0,8520.43787313666,8520.49788834476,0,0,87.38142170428989,1.7245277571115176,-1.7245277571115176,0.4207527043873811,0.05835163654580485,-0.16985515932168663,NaN,-0.10734022102124008,0,0,42.631878636196284,-67.81258820529865,49.0959310114396,0,0,0.22270102797926183,0,1.3034872243159557,-1.3034872243159557,0.5622841955598138,0,0,0,0,0,31.620987053703725,3.02506211865778,24.626921241099407,0,35,0,35,35,78.78866740784738,35,78.78866740784738,70,87.57733481569478,81.60317647110506,64.28935453805254,0,NaN,NaN,NaN
1581292800,10168.36,10522.51,9612.12,9921,NaN,NaN,0,0,10216.96837506786,8337.496499999997,6458.024624932134,0,0,7097.30438842975,14740.152355231761,-545.5435783722605,0,0,8285.327681152252,7962.405051782191,0,0,8653.82474236174,8653.826740351944,0,0,90.3573775188116,1.747767514552313,-1.747767514552313,0.2873401754659634,0.003865737097413326,-0.19924716126192973,NaN,-0.07624261585468343,0,0,42.631878636196284,-67.81258820529865,18.099323604183166,0,1,0.5033357054464438,0,1.3050130858364746,-1.3050130858364746,0.43623473986609124,0,0,0,0,0,32.25328920365223,4.168607386019835,27.692392011487513,0,45,0,45,45,58.31027412781127,45,58.31027412781127,90,-26.62054825562254,77.0074229718807,72.10456845171976,NaN,NaN,NaN,0
1581897600,9920.52,10315,9280.98,9965.01,NaN,NaN,0,0,10435.798983561017,8442.757499999998,6449.71601643898,0,0,7159.85569008264,14780.676828336804,-460.96544817152335,0,0,8384.227017354506,8113.167798126714,0,0,8778.699528803478,8778.700203897835,0,0,91.4286887594058,1.7547702467785495,-1.7547702467785495,0.27108435297423583,0.013865418638985773,-0.18657537592369966,NaN,-0.05444033372155273,0,0,40.87958836028176,-67.81258820529865,37.712957899912325,0,0,0.6730262301857506,0,1.3066621282269892,-1.3066621282269892,0.43729583986326803,0,0,0,0,0,29.812460062362096,4.584357873606926,29.084074582127325,0,35,0,35,35,40.86199051251621,35,40.86199051251621,70,11.723981025032415,73.09491229944648,74.55792322988994,NaN,NaN,0,NaN
1582502400,9965,10030,8400,8522.31,NaN,NaN,0,0,10446.658442142427,8454.724499999998,6462.790557857569,0,0,7148.755754820935,14758.635786061492,-461.1242764196204,0,0,8396.177109286324,8238.20014611995,0,0,8754.281478441242,8479.7196,0,0,88.00601104636957,1.9088947052870795,-1.9088947052870795,-0.23327874483091132,-0.27739148279945103,-0.37716801353743556,NaN,-0.0986803111968111,0,0,40.87958836028176,-67.81258820529865,-14.478469500479319,0,0,0.6583247895967558,0,1.3078120434360394,-1.3078120434360394,-0.08498090172225929,0,0,0,0,0,25.158819230668055,10.968766102872507,20.35257238821148,0,40,0,40,40,84.6720126063208,40,84.6720126063208,80,-89.3440252126416,41.56376646969593,64.38200689298954,NaN,NaN,NaN,NaN
